date,NAV,sp500_close,daily_return,sp500_return,gmrr,vol,alpha,beta,excess_rtn,sharpe,tier,rank
2025-02-07,1042164.093186494,6025.990234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025-02-10,1042493.373186494,6066.43994140625,3.159080165926014e-4,0.006690112295455172,3.1590801659264756e-4,NA,NA,NA,1.4408261976725072e-4,NA,NA,NA
2025-02-11,1042603.133186494,6068.5,1.0528049878361579e-4,3.3952514367385523e-4,2.1058871336188112e-4,1.4893614614722403e-4,9.401959699035343e-5,0.03316662109737449,3.876331653648429e-5,0.2602680245141202,NA,NA
2025-02-12,1042712.893186494,6051.97021484375,1.0526941596691147e-4,-0.0027275831896475754,1.7548104862274982e-4,1.2160905356561814e-4,1.4107938199119107e-4,0.023993138947979848,3.6556517973529933e-6,0.03006068783670343,NA,NA
2025-02-13,1042822.653186494,6115.06982421875,1.0525833548330547e-4,0.010372313214235747,1.579249080971845e-4,1.0531930031266403e-4,1.3591895364484824e-4,0.005999607987514535,-1.3900488728212318e-5,-0.1319842487269246,NA,NA
2025-02-14,1042932.413186494,6114.6298828125,1.0524725733235382e-4,-7.19463955744955e-5,1.4738915597756197e-4,9.42029239012829e-5,1.2761709733437126e-4,0.006771345451929763,-2.443624084783486e-5,-0.2594000253478552,NA,NA
2025-02-17,1042932.413186494,NA,0,NA,1.2282278815356484e-4,1.0353801686744982e-4,1.2761709733437126e-4,0.006771345451929763,-4.900260867183199e-5,-0.4732813139985626,NA,NA
2025-02-18,1043371.453186494,6129.580078125,4.2087829443960824e-4,NA,1.6539670886039914e-4,1.470512357210506e-4,1.2761709733437126e-4,0.006771345451929763,-6.428687964997687e-6,-0.04371733384949319,NA,NA
2025-02-19,1043481.213186494,6144.14990234375,1.0519190153655266e-4,0.0023741488668242434,1.578709097487252e-4,1.3779742547814788e-4,1.2077812003596198e-4,0.006920520807773974,-1.3954487076671635e-5,-0.1012681262240604,NA,NA
2025-02-20,1043590.973186494,6117.52001953125,1.0518083736421113e-4,-0.004343604884290259,1.5201632018024824e-4,1.30089134590231e-4,1.2383723098974265e-4,0.006370289619937038,-1.9809076645148588e-5,-0.15227310649383122,NA,NA
2025-02-21,1043700.733186494,6013.1298828125,1.0516977551919596e-4,-0.017211396672539132,1.4733156696933314e-4,1.2354092282253014e-4,1.3339669721498955e-4,0.0032036165116304106,-2.4493829856063693e-5,-0.19826490928232532,NA,NA
2025-02-24,1044030.013186494,5983.25,3.1544297874848626e-4,-0.004981493566252351,1.626132550540671e-4,1.2769156673123945e-4,1.5373297820059348e-4,0.00163681055763507,-9.212141771329735e-6,-0.07214369756085079,NA,NA
2025-02-25,1044139.773186494,5955.25,1.0512555139663723e-4,-0.004690715138395557,1.5782248687212785e-4,1.2287524204830029e-4,1.500156005056673e-4,0.0019003662791504431,-1.4002909953268977e-5,-0.11396038550845465,NA,NA
2025-02-26,1044249.533186494,5956.06005859375,1.0511450117671006e-4,1.3601502958346571e-4,1.5376792781451876e-4,1.1854910331393596e-4,1.457487370742699e-4,0.001774545011962986,-1.8057469010878075e-5,-0.15232058704871992,NA,NA
2025-02-27,1044359.293186494,5861.56982421875,1.0510345327966932e-4,-0.015991742678524653,1.5029181539039094e-4,1.1463867537572865e-4,1.4531283683031845e-4,0.0020082634621642263,-2.1533581435005894e-5,-0.1878387146783536,NA,NA
2025-02-28,1044469.053186494,5954.5,1.0509240770462699e-4,0.015729780420663385,1.4727845799278327e-4,1.1108350741387561e-4,1.3847142236075142e-4,8.168530786695656e-4,-2.4546938832613557e-5,-0.2209773476197184,NA,NA
